title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
"Tranquillo posto di campagna, Un",1969,106,NA,5.3,31,4.5,4.5,0,4.5,14.5,4.5,14.5,24.5,4.5,4.5,,0,0,0,0,0,0,0
Evelyn: The Cutest Evil Dead Girl,2002,8,NA,7.4,81,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,,0,0,1,0,0,0,1
"Skrupellosen.com, Die",2003,89,NA,5,19,4.5,0,14.5,14.5,24.5,24.5,14.5,0,0,0,,0,0,1,0,0,0,0
Confidence Girl,1952,81,NA,5.4,8,0,0,0,14.5,34.5,24.5,24.5,0,0,0,,0,0,0,1,0,0,0
Lurkers,1988,90,NA,3,31,14.5,14.5,14.5,14.5,4.5,0,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
Half-Shot Shooters,1936,19,NA,7.3,67,4.5,0,4.5,0,4.5,4.5,24.5,14.5,14.5,24.5,,0,0,1,0,0,0,1
Anjos do Arrabalde,1987,90,NA,7.7,23,0,0,0,0,14.5,4.5,4.5,24.5,34.5,24.5,,0,0,0,1,0,0,0
Ben-Hur,1925,151,3900000,8,848,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,1,0
"See Here, Private Hargrove",1944,100,NA,7.2,50,0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,0,0
Cameras Take Five,2003,3,NA,6.7,8,0,0,0,0,34.5,14.5,0,24.5,14.5,14.5,,0,1,0,0,0,0,1
Free Willy 3: The Rescue,1997,86,NA,4,641,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,PG,0,0,0,1,0,0,0
Frankenweenie,1984,29,NA,7.2,1244,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,0,1
"Grey Zone, The",2001,108,5000000,7.3,1553,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0
Fine mrtve djevojke,2002,77,NA,7.2,153,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
Saturn 3,1980,88,NA,4.4,1089,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
Heat,1972,102,NA,6,289,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,,0,0,1,1,0,0,0
Cialo,2003,98,NA,6.5,121,4.5,4.5,0,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,0,0,1,0,0,0,0
Little Boy Blue,1997,105,NA,6.3,453,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0
"Wild Bunch: An Album in Montage, The",1996,34,NA,7.2,68,0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,0,0,0,0,1,0,1
Deadline Auto Theft,1983,98,NA,5,11,4.5,4.5,0,0,24.5,0,24.5,0,0,24.5,,1,0,0,0,0,0,0
Tevya,1939,93,70000,6.4,46,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,,0,0,0,1,0,0,0
Piranha Part Two: The Spawning,1981,84,NA,2.8,773,24.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,1,0
"Romana, La",1954,96,NA,5.5,11,0,0,4.5,4.5,4.5,24.5,4.5,14.5,0,14.5,,0,0,0,1,0,0,0
Donald and Pluto,1936,8,NA,6.9,66,4.5,0,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,1,1,0,0,0,1
Gumiho,1994,115,NA,5.2,23,4.5,0,4.5,14.5,24.5,24.5,4.5,4.5,0,4.5,,0,0,0,0,0,1,0
Ernstfall in Havanna,2002,86,NA,6.5,142,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,,0,0,1,0,0,0,0
Boardwalk,1979,98,NA,5.8,20,0,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,34.5,,0,0,0,1,0,0,0
"Armadio, L'",2002,7,NA,5.4,37,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,24.5,,0,0,0,0,0,0,1
"Incredible Sarah, The",1976,106,NA,5.2,25,4.5,0,0,24.5,14.5,24.5,24.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
Intimate Obsession,1992,91,NA,3,56,14.5,14.5,14.5,4.5,14.5,14.5,4.5,4.5,4.5,14.5,,0,0,0,0,0,1,0
"Godson, The",1998,100,NA,2.8,397,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,PG-13,0,0,1,0,0,0,0
Dead of Night,1977,76,NA,7.2,18,0,4.5,0,14.5,0,14.5,34.5,14.5,4.5,14.5,,0,0,0,0,0,0,0
Transylvania Mania,1968,7,NA,6.8,6,0,0,0,0,14.5,34.5,0,34.5,0,14.5,,0,1,0,0,0,0,1
"Sacco bello, Un",1980,99,NA,7.2,135,4.5,4.5,0,4.5,4.5,4.5,24.5,14.5,14.5,24.5,,0,0,1,0,0,0,0
Everything's Jake,2000,92,900000,6.7,12,34.5,0,0,0,14.5,0,4.5,14.5,0,24.5,,0,0,1,1,0,0,0
Don Sanche,1970,30,NA,7.6,14,0,0,0,4.5,0,4.5,14.5,14.5,14.5,44.5,,0,1,0,0,0,0,1
Zhou Yu de huo che,2002,97,NA,6.3,189,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,1,0
Susanna tutta panna,1958,80,NA,5.6,6,0,0,0,0,34.5,14.5,34.5,0,14.5,0,,0,0,1,0,0,0,0
Yellowbeard,1983,96,NA,5.3,1464,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,1,0,1,0,0,0,0
"Mummy's Tomb, The",1942,71,NA,5.3,189,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
Secret Service of the Air,1939,61,NA,3.6,25,24.5,4.5,4.5,4.5,4.5,24.5,24.5,0,4.5,4.5,,1,0,0,1,0,0,0
Ruoma de shi sui,2002,88,NA,7.5,19,0,0,0,0,4.5,0,14.5,24.5,14.5,44.5,,0,0,0,0,0,0,0
Lian'ai qiyi,2001,90,NA,4.9,18,4.5,0,14.5,0,14.5,24.5,14.5,14.5,4.5,14.5,,0,0,0,0,0,0,0
Insatiable,1980,87,NA,6.5,157,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,,0,0,0,0,0,0,0
Peg o' My Heart,1933,87,623000,5.9,43,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,24.5,,0,0,0,1,0,1,0
Noi vivi,1942,174,NA,7.7,59,4.5,0,0,0,4.5,4.5,14.5,14.5,14.5,44.5,,0,0,0,1,0,0,0
Devil's Messenger,1961,72,NA,4.4,16,14.5,0,0,4.5,74.5,0,0,4.5,0,0,,0,0,0,0,0,0,0
P & B,1983,109,NA,6.2,71,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,4.5,4.5,,0,0,0,1,0,0,0
Cavalca e uccidi,1964,82,NA,4.6,8,0,14.5,0,34.5,24.5,24.5,0,0,0,0,,0,0,0,0,0,0,0
Triumph des Willens,1935,110,NA,7.3,1697,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,,0,0,0,0,1,0,0
"Secret Land, The",1948,71,NA,7.7,21,0,0,0,0,4.5,14.5,14.5,24.5,4.5,34.5,,0,0,0,0,1,0,0
Aria dla atlety,1980,108,NA,6.8,15,0,0,0,0,4.5,24.5,14.5,24.5,24.5,14.5,,0,0,0,0,0,0,0
"Stein des Todes, Der",1987,93,NA,3.9,13,4.5,14.5,4.5,0,14.5,14.5,4.5,0,4.5,24.5,,1,0,0,0,0,0,0
"Honorable, The",2002,88,50000,6.8,30,24.5,4.5,0,0,4.5,4.5,14.5,4.5,4.5,44.5,,0,0,0,0,0,0,0
"Marauders, The",1947,63,NA,7.2,11,0,0,0,0,4.5,0,4.5,14.5,24.5,34.5,,1,0,0,0,0,0,0
"Vida que te espera, La",2004,100,NA,6.3,57,0,4.5,0,4.5,4.5,14.5,44.5,14.5,14.5,4.5,,0,0,0,1,0,0,0
"Beast of Hollow Mountain, The",1956,81,NA,5,86,0,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
Cattle Annie and Little Britches,1981,97,NA,5.8,110,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
Fast and Furious,1939,73,NA,6.2,32,0,0,4.5,4.5,24.5,24.5,24.5,4.5,14.5,0,,0,0,1,0,0,0,0
Donald's Ostrich,1937,9,NA,6.7,65,4.5,0,4.5,4.5,24.5,14.5,24.5,14.5,4.5,4.5,,0,1,1,0,0,0,1
"Beautiful Country, The",2004,137,6000000,6.9,115,14.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,R,0,0,0,1,0,0,0
Land of Look Behind,1982,90,NA,9.1,14,0,0,0,0,0,0,24.5,4.5,4.5,64.5,,0,0,0,0,1,0,0
Sweet Home Alabama,2002,108,38000000,5.8,9943,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,1,0,1,0
Borderline,1950,88,NA,5.9,61,4.5,4.5,4.5,4.5,14.5,34.5,14.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
"Caveman's Valentine, The",2001,105,NA,6,1505,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
Evilio,1992,10,NA,4.7,25,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,24.5,,0,0,1,0,0,0,1
One Perfect Day,2004,106,NA,5.7,136,14.5,4.5,4.5,4.5,4.5,14.5,4.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
"Hombre que se quiso matar, El",1970,91,NA,6.5,5,0,0,0,0,0,64.5,24.5,24.5,0,0,,0,0,1,0,0,0,0
Mu Sa Do,2002,93,NA,3.6,24,24.5,4.5,4.5,0,4.5,0,14.5,24.5,4.5,4.5,R,1,0,0,0,0,0,0
Hans Staden,1999,92,NA,6.8,63,4.5,0,4.5,4.5,14.5,14.5,24.5,24.5,14.5,4.5,,0,0,0,0,0,0,0
Night Moves,1975,100,NA,6.8,759,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,,0,0,0,0,0,0,0
Swat the Fly,1935,6,NA,5.5,18,0,0,24.5,0,14.5,24.5,14.5,0,4.5,4.5,,0,1,0,0,0,0,1
Night of Dark Shadows,1971,129,900000,4.6,139,4.5,4.5,4.5,4.5,14.5,4.5,14.5,14.5,4.5,34.5,,0,0,0,0,0,0,0
Prison sans barreaux,1938,98,NA,8.4,6,0,0,0,0,0,0,14.5,34.5,14.5,34.5,,0,0,0,1,0,0,0
Women Without Wings,2002,109,NA,3.3,7,0,0,44.5,0,14.5,24.5,0,0,0,14.5,,0,0,0,1,0,0,0
Shan-chung ch'uan-ch'i,1979,130,NA,6.8,29,0,0,0,0,14.5,4.5,34.5,24.5,14.5,14.5,,0,0,0,0,0,0,0
Ich vertraue Dir meine Frau an,1943,86,NA,4.9,16,0,0,14.5,0,14.5,14.5,34.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
Gloria,1999,108,30000000,4.9,1144,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,R,0,0,0,1,0,0,0
A2,2001,131,NA,8.8,5,0,0,0,0,0,0,24.5,24.5,24.5,44.5,,0,0,0,0,0,0,0
"Kids Are Alright, The",1979,101,2000000,7.6,753,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,44.5,,0,0,0,0,1,0,0
No Dough Boys,1944,17,NA,7.6,52,0,4.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,24.5,,0,0,1,0,0,0,1
Famous,2000,90,NA,6.1,252,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,PG-13,0,0,1,1,0,0,0
Nouvelle vague,1990,89,NA,6.1,162,14.5,4.5,4.5,4.5,4.5,14.5,4.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
Tomei ningen,1954,70,NA,5.1,7,0,0,0,0,45.5,0,14.5,24.5,0,0,,0,0,0,0,0,0,0
Pleasantville,1976,85,NA,5.2,28,14.5,0,0,4.5,24.5,4.5,4.5,24.5,4.5,4.5,,0,0,0,0,0,0,0
L.A. Plays Itself,1972,55,NA,6,11,0,4.5,0,0,14.5,24.5,4.5,4.5,14.5,4.5,,0,0,0,0,0,0,0
Hell in the Heavens,1934,79,NA,5.9,5,0,0,0,0,64.5,0,0,24.5,24.5,0,,0,0,0,1,0,0,0
My Name Is Modesty: A Modesty Blaise Adventure,2003,78,NA,4.3,203,14.5,4.5,4.5,14.5,4.5,14.5,14.5,4.5,4.5,14.5,R,0,0,0,1,0,0,0
"Deli, The",1997,99,NA,3.7,140,14.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,4.5,14.5,,0,0,1,1,0,0,0
"Second Jungle Book: Mowgli & Baloo, The",1997,88,NA,4.7,113,14.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,14.5,PG,0,0,0,0,0,0,0
"Coraje del pueblo, El",1971,90,NA,8,8,0,0,0,0,0,0,14.5,24.5,14.5,45.5,,0,0,0,0,0,0,0
"Gafe, El",1959,85,NA,5,6,0,0,34.5,0,34.5,0,14.5,0,14.5,0,,0,0,1,0,0,0,0
Deathstalker,1983,80,NA,3.5,279,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,14.5,,1,0,0,0,0,0,0
"Thundering Herd, The",1933,62,NA,5.9,13,0,0,0,4.5,34.5,34.5,14.5,4.5,0,0,,0,0,0,0,0,0,0
One Romantic Night,1930,73,NA,4.5,6,0,14.5,14.5,0,0,0,34.5,34.5,0,0,,0,0,1,0,0,1,0
Wo zhe yi bei zi,1950,120,NA,8.6,9,0,0,0,0,0,0,14.5,24.5,34.5,34.5,,0,0,0,0,0,0,0
Alibi,1955,103,NA,6,10,0,0,0,0,14.5,64.5,14.5,24.5,0,0,,0,0,0,0,0,0,0
"Grand jeu, Le",1954,100,NA,5.6,9,0,0,0,24.5,14.5,14.5,24.5,14.5,0,24.5,,0,0,0,1,0,0,0
Emmanuelle's Magic,1992,90,NA,2.3,49,24.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,44.5,,0,0,0,1,0,1,0
"United States of Leland, The",2003,108,NA,7,1788,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,24.5,R,0,0,0,1,0,0,0
Dracula Exotica,1981,100,NA,4.7,24,14.5,4.5,4.5,0,4.5,4.5,4.5,14.5,4.5,24.5,,0,0,0,0,0,0,0
Postcards from the Future: The Chuck Palahniuk Documentary,2003,90,NA,7.8,34,0,0,0,0,0,4.5,4.5,14.5,4.5,64.5,,0,0,0,0,1,0,0
Double Frame,2000,93,NA,6.1,12,0,0,0,4.5,0,44.5,34.5,0,4.5,4.5,,0,0,0,0,0,0,0
Nije nego,1978,97,NA,8.3,7,0,0,14.5,0,0,0,0,24.5,14.5,44.5,,0,0,1,0,0,0,0
Sitting Pretty,1948,83,NA,7.6,232,4.5,4.5,0,4.5,4.5,4.5,14.5,24.5,14.5,34.5,,0,0,1,0,0,0,0
"Profesor hippie, El",1969,91,NA,5.3,6,0,14.5,34.5,0,0,45.5,0,0,0,0,,0,0,1,0,0,0,0
"Silence de la Mer, Le",1949,88,NA,8.1,110,4.5,0,0,0,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
And Baby Makes Three,1949,84,700000,5.3,22,0,0,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,1,0
Ariel,1988,73,NA,7.4,442,4.5,4.5,0,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,1,1,0,1,0
Little Nellie Kelly,1940,98,665300,6.4,73,4.5,0,4.5,4.5,4.5,24.5,24.5,4.5,14.5,14.5,,0,0,0,0,0,0,0
Cleaning Up!,2002,78,NA,7.9,7,0,0,0,0,0,14.5,14.5,45.5,0,14.5,,0,0,0,0,1,0,0
"Dandy in Aspic, A",1968,107,NA,5.4,56,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
Danger Within,1959,101,NA,6.8,49,0,0,0,4.5,4.5,14.5,24.5,34.5,24.5,4.5,,0,0,0,1,0,0,0
"Day with the Meatball, A",2002,2,NA,5.7,30,4.5,0,0,4.5,14.5,24.5,4.5,14.5,4.5,24.5,PG,0,0,1,0,0,0,1
Sweet and Lowdown,1999,95,NA,7.2,5811,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,PG-13,0,0,1,1,0,0,0
Galia,1966,105,NA,6.2,12,0,0,0,0,4.5,14.5,44.5,4.5,4.5,14.5,,0,0,0,1,0,0,0
Je vais craquer!!!,1980,89,NA,5.8,24,0,4.5,4.5,14.5,14.5,14.5,24.5,4.5,14.5,4.5,,0,0,0,0,0,0,0
As Young as You Feel,1951,77,NA,6.6,80,0,0,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
Adamski,1994,89,NA,7.2,9,0,0,14.5,0,14.5,14.5,0,44.5,14.5,14.5,,0,0,1,0,0,1,0
"Education of Allison Tate, The",1986,88,NA,4.6,8,0,24.5,0,0,24.5,24.5,14.5,14.5,0,0,,0,0,0,0,0,0,0
Morbo,1972,88,NA,2.3,8,14.5,24.5,14.5,0,14.5,0,14.5,0,14.5,14.5,,0,0,0,1,0,0,0
Sette note in nero,1977,90,NA,6.2,119,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,,0,0,0,0,0,0,0
"Mapmaker, The",2001,92,NA,5.6,25,0,0,0,4.5,24.5,24.5,24.5,14.5,0,14.5,,0,0,0,0,0,0,0
"Fantasma del convento, El",1934,85,NA,7.1,11,0,0,0,0,0,4.5,14.5,0,14.5,45.5,,0,0,0,0,0,0,0
Maite,1994,92,NA,5.5,15,0,4.5,0,0,14.5,4.5,34.5,24.5,4.5,14.5,,0,0,1,0,0,1,0
"Lost Treasure of Sawtooth Island, The",1999,92,NA,4.7,37,14.5,4.5,4.5,24.5,4.5,4.5,4.5,4.5,4.5,24.5,PG,0,0,0,0,0,0,0
Afrika,2002,112,NA,5,43,14.5,4.5,4.5,4.5,24.5,14.5,14.5,4.5,4.5,4.5,,1,0,0,1,0,0,0
Introducing Barbii,1987,88,NA,7.9,5,0,0,0,0,24.5,64.5,0,24.5,0,0,,0,0,0,0,0,0,0
Floradas na Serra,1954,100,NA,7.3,13,0,0,0,0,0,4.5,14.5,34.5,24.5,14.5,,0,0,0,1,0,0,0
"Birthday Present, The",1957,100,NA,5.6,6,0,0,14.5,0,14.5,14.5,34.5,14.5,0,0,,0,0,0,1,0,0,0
Corn on the Cop,1965,6,NA,6,25,0,0,14.5,4.5,4.5,34.5,24.5,4.5,4.5,14.5,,0,1,1,0,0,0,1
Finis Hominis,1971,79,NA,6.5,15,0,0,0,0,14.5,14.5,44.5,4.5,24.5,4.5,,0,0,1,1,0,0,0
Sky Captain and the World of Tomorrow,2004,106,40000000,6.5,12579,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,PG,1,0,0,0,0,0,0
"Delantal de Lili, El",2004,90,NA,6.7,7,0,0,0,0,14.5,14.5,14.5,44.5,14.5,0,,0,0,1,0,0,0,0
Seja o que Deus Quiser,2002,90,NA,8.7,57,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,24.5,,0,0,1,0,0,0,0
Silent Scream,1980,87,NA,5,83,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
Tonespor,1983,8,NA,6.4,8,0,0,0,24.5,0,14.5,14.5,34.5,14.5,0,,0,1,0,0,0,0,1
Nuts,1987,116,NA,6.4,1191,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
"One Night Stand, A",1915,14,NA,4.4,8,14.5,14.5,14.5,14.5,34.5,14.5,0,0,0,0,,0,0,1,0,0,0,1
Raggare!,1959,88,NA,2.6,21,14.5,14.5,0,4.5,14.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
You Said a Mouthful,1932,75,NA,6.4,44,0,0,4.5,4.5,14.5,24.5,24.5,24.5,4.5,4.5,,0,0,1,0,0,0,0
"Turn of the Screw, The",1994,95,NA,4.9,123,4.5,4.5,4.5,14.5,4.5,14.5,14.5,14.5,4.5,4.5,,0,0,0,0,0,0,0
"Tossede paradis, Det",1962,95,NA,6.5,15,0,24.5,0,14.5,4.5,0,44.5,24.5,0,0,,0,0,1,0,0,0,0
Journey of the Blob,1989,10,NA,6.2,6,0,14.5,14.5,0,0,0,14.5,14.5,0,34.5,,0,0,0,0,0,0,1
"Playgirl, The",1982,86,NA,5.6,11,0,4.5,4.5,0,14.5,4.5,4.5,14.5,14.5,4.5,,0,0,0,0,0,0,0
Como dos gotas de agua,1964,100,NA,1.7,6,34.5,34.5,0,14.5,0,0,0,0,0,14.5,,0,0,1,0,0,0,0
Infinity,1996,119,NA,6,454,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,14.5,PG,0,0,0,1,0,0,0
Hit and Runway,1999,108,1200000,6.7,189,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,R,0,0,1,0,0,0,0
Faustyna,1995,73,NA,5.5,13,4.5,0,4.5,0,0,14.5,0,14.5,14.5,34.5,,0,0,0,1,0,0,0
Cobra Mission,1985,85,NA,3.5,23,24.5,24.5,0,14.5,4.5,4.5,4.5,4.5,0,4.5,,1,0,0,0,0,0,0
Spasi i sokhrani,1989,150,NA,7.8,26,0,0,0,0,4.5,14.5,14.5,14.5,14.5,34.5,,0,0,0,1,0,0,0
"Mistero di Oberwald, Il",1981,129,NA,5.6,60,4.5,4.5,4.5,4.5,4.5,24.5,14.5,4.5,14.5,14.5,,0,0,0,1,0,1,0
"Black Mama, White Mama",1972,83,NA,4.5,215,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,,0,0,0,1,0,0,0
"Laisse aller, c'est une valse",1971,100,NA,6.3,28,0,0,4.5,14.5,4.5,14.5,14.5,14.5,14.5,14.5,,1,0,0,0,0,0,0
Shimaizaka,1985,100,NA,8.1,9,0,0,0,0,0,24.5,14.5,14.5,44.5,14.5,,0,0,0,0,0,0,0
Dunderklumpen!,1974,97,NA,6.7,172,0,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,24.5,,0,1,0,0,0,0,0
Tea with Mussolini,1999,117,12000000,6.7,2711,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG,0,0,1,1,0,0,0
"Place, La",2001,28,NA,8.8,5,0,0,0,0,0,24.5,0,0,44.5,44.5,,0,0,0,0,1,0,1
Scorned 2,1997,98,NA,3.8,68,14.5,14.5,14.5,14.5,14.5,4.5,14.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
"Mating of Millie, The",1948,87,NA,6.4,12,0,0,0,0,4.5,24.5,24.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
Paris vu par...,1965,95,NA,6.4,58,4.5,4.5,0,4.5,14.5,14.5,14.5,14.5,14.5,14.5,,0,0,1,1,0,0,0
"Guru, the Mad Monk",1970,62,20000,3.2,23,24.5,14.5,14.5,4.5,0,14.5,4.5,0,14.5,4.5,,0,0,0,0,0,0,0
Old School,2000,88,NA,5.2,24,14.5,0,14.5,4.5,4.5,24.5,4.5,4.5,14.5,14.5,,0,0,0,0,0,0,0
Peggy Sue Got Married,1986,104,18000000,6.3,5797,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,1,1,0,0,0
